ImageName,FileDir,CollectDate,Instrument
Protoplanetary Disk Around Dwarf Star PDS 70,https://stsci-opo.org/STScI-01EVSST158H826EK7GDS3DGBQD.png,12/16/21,VLT
Protoplanetary Disks,https://stsci-opo.org/STScI-01EVSSSX4NBPAN6PKK1BPV4HXD.png,12/16/21,"ALMA, VLT, Hubble"
Apep Star System,https://stsci-opo.org/STScI-01EVSSTS7QQ9BW8BHQ5FD373HW.png,11/18/21,VLT
Pluto and Charon,https://stsci-opo.org/STScI-01EVSSWFVW8EBS1X17Y4WPZ1QW.png,10/28/20,New Horizons
Triton,https://stsci-opo.org/STScI-01EVSSW78ZSG7KP71HMSDFM5MH.png,10/29/20,Voyager 2
Arrakoth,https://stsci-opo.org/STScI-01EVSSW4D16XY4DSV86HX9HN0H.png,10/30/20,New Horizons
High-Redshift Quasar and Companion Galaxy,https://stsci-opo.org/STScI-01EVSSZ8G8HSE70SS20W1M62RJ.png,10/14/21,Illustration
NGC 3256,https://stsci-opo.org/STScI-01EVST281S8K0G3HVV9SYW0T93.png,9/23/02,Hubble
NGC 7469,https://stsci-opo.org/STScI-01EVST1VEA95TDEJ99AJZ25DE3.png,6/11/02,Hubble
II Zw 096 ,https://stsci-opo.org/STScI-01EVST1QY74KV715BXXRWQZZW2.png,4/15/06,Hubble
GOODS-S/ERS2 Field,https://stsci-opo.org/STScI-01EX2B84EQW1X2QGNYYNAZ8SR6.png,10/11/09,Hubble
Quasar,https://stsci-opo.org/STScI-01EVST6KAXV7W8T8CVF2TC7GXD.png,8/19/20,Illustration
Jupiter and Io,https://stsci-opo.org/STScI-01EVST70HNTJNZ5V6SDJVKB5Q2.png,1/1/01,Cassini
Jupiter's Polar Cyclone Storms,https://stsci-opo.org/STScI-01EVST6VRG39BECAA76BTC3Y3K.png,2/2/17,Juno
Jupiter's Ring System,https://stsci-opo.org/STScI-01EVST6S1SP43E3DANPDY64QP3.png,7/31/97,Galileo
Volcano Erupts on Io,https://stsci-opo.org/STScI-01EVST6NRVB7YN4ZG0G9ZKYRWV.png,6/28/97,Galileo
Extended Groth Strip,https://stsci-opo.org/STScI-01EVST7SEV8EQSS15HR671P2F9.png,6/24/04,Hubble
Ceres,https://stsci-opo.org/STScI-01EVSTFH0CTSRQDBDE9Z7HXY20.png,2/19/15,Dawn
Central Region of Orion Nebula,https://stsci-opo.org/STScI-01EVSTH54FV1AT09XF6YWE1Z4W.png,4/30/20,VLT
